id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
101554123,Fri Nov 19 2021 11:58:48 GMT-0700 (MST),11/19/21,2021-11-19 18:58:48 UTC,Mountain Time (US & Canada),3184750,court_rae,2021-11-20 19:04:23 UTC,2021-11-20 20:31:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101554123,https://inaturalist-open-data.s3.amazonaws.com/photos/169613925/medium.jpg,,,,1,0,FALSE,3,"Arizona - Sonora Desert Museum, Tucson, AZ, US",32.24305,-111.1662917,9,9,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101559238,2021/11/20 12:00 PM HST,11/20/21,2021-11-20 22:00:00 UTC,Hawaii,1534181,dellakilleen,2021-11-20 19:36:41 UTC,2021-11-24 03:42:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101559238,https://inaturalist-open-data.s3.amazonaws.com/photos/169617719/medium.jpeg,,,"Two Monarchs at my house, difficult to say if close up pics are the same Monarch or two separate. Two can be seen fighting in the distant photo",2,0,FALSE,,"5311 E Calle Redonda, Phoenix, AZ 85018, USA",33.4919386,-111.9680619,20,20,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101570261,11/20/21 9:30,11/20/21,2021-11-20 16:30:50 UTC,Mountain Time (US & Canada),5150,stevemerkley,2021-11-20 22:19:50 UTC,2021-11-21 02:51:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/101570261,https://inaturalist-open-data.s3.amazonaws.com/photos/169640017/medium.jpeg,,,,1,0,FALSE,2,"Hereford, AZ 85615, USA",31.38598056,-110.1072222,,,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
101576932,2021/11/20 12:25 PM MST,11/20/21,2021-11-20 19:25:00 UTC,Arizona,587132,sunny1az,2021-11-21 00:00:14 UTC,2021-11-21 00:52:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101576932,https://inaturalist-open-data.s3.amazonaws.com/photos/169652679/medium.jpg,,,"Spent quite a bit of time on a cluster of Pineleaf Milkweed flowers. Had just planted it this spring, hoping to feed migrating Monarchs and was happy to see one today! After about 10 minutes on the flower, it flew off to the SW.",1,0,FALSE,,"Our Yard, Pima, AZ 85543, USA",32.89416376,-109.8320094,5,5,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101587271,Thu Nov 18 2021 18:53:59 GMT-0700 (MST),11/18/21,2021-11-19 01:53:59 UTC,Mountain Time (US & Canada),3184750,court_rae,2021-11-21 02:53:31 UTC,2021-11-21 03:12:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101587271,https://inaturalist-open-data.s3.amazonaws.com/photos/169673922/medium.jpg,,,,1,0,FALSE,3,"Pima County, US-AZ, US",32.23982648,-111.1775342,3133,3133,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101587275,Thu Nov 18 2021 18:52:57 GMT-0700 (MST),11/18/21,2021-11-19 01:52:57 UTC,Mountain Time (US & Canada),3184750,court_rae,2021-11-21 02:53:41 UTC,2021-11-21 03:12:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101587275,https://inaturalist-open-data.s3.amazonaws.com/photos/169673941/medium.jpg,,,,1,0,FALSE,3,"Pima County, US-AZ, US",32.24387063,-111.169756,7699,7699,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101708069,2021/11/21 10:21 AM UTC,11/21/21,2021-11-21 10:21:00 UTC,UTC,668786,tropicaldesert759,2021-11-22 16:20:12 UTC,2021-11-22 17:00:23 UTC,research,,https://www.inaturalist.org/observations/101708069,https://static.inaturalist.org/photos/169878590/medium.jpeg,,,,3,0,FALSE,,"Maricopa County, AZ, USA",33.93276085,-112.6947309,15,15,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101760907,11/23/21 7:57,11/23/21,2021-11-23 14:57:35 UTC,Arizona,1486070,sboyack,2021-11-23 15:01:53 UTC,2021-11-24 01:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101760907,https://inaturalist-open-data.s3.amazonaws.com/photos/169986017/medium.jpeg,,,,1,0,FALSE,2,"Buckeye, AZ 85396, USA",33.46858258,-112.5141185,143,143,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
101787028,2021/11/23 10:48 AM MST,11/23/21,2021-11-23 17:48:00 UTC,Arizona,2031829,hoganajjg,2021-11-23 22:26:01 UTC,2021-11-23 22:27:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101787028,https://inaturalist-open-data.s3.amazonaws.com/photos/170028103/medium.jpeg,,,2 monarchs on tithonia fruticose,1,0,FALSE,,"Tohono Chul Park, Oro Valley, AZ 85704, USA",32.3394402,-110.9815906,172,172,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101789787,Tue Nov 23 2021 16:16:43 GMT-0700 (MST),11/23/21,2021-11-23 23:16:43 UTC,Mountain Time (US & Canada),3955853,mary_jw,2021-11-23 23:18:53 UTC,2021-11-24 00:55:17 UTC,research,,https://www.inaturalist.org/observations/101789787,https://static.inaturalist.org/photos/170034075/medium.jpg,,,,1,0,FALSE,3,"Saguaro National Park - Tucson Mountain District (West), Tucson, AZ, US",32.25472,-111.1971133,4,4,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
